ticker,industry
AAPL,Technology
AMGN,Healthcare
AXP,Financial Services
BA,Industrials
CAT,Industrials
CRM,Technology
CSCO,Technology
CVX,Energy
DIS,Communication Services
DOW,Basic Materials
GS,Financial Services
HD,Consumer Cyclical
HON,Industrials
IBM,Technology
INTC,Technology
JNJ,Healthcare
JPM,Financial Services
KO,Consumer Defensive
MCD,Consumer Cyclical
MMM,Industrials
MRK,Healthcare
MSFT,Technology
NKE,Consumer Cyclical
PG,Consumer Defensive
TRV,Financial Services
UNH,Healthcare
V,Financial Services
VZ,Communication Services
WBA,Healthcare
WMT,Consumer Defensive
